POS,Name,ORG,B,T,G,GS,PPG,IP,ERA,HR/9,BB/9,K/9,FIP,WAR
SP,IAN LEVORATO,HAV,L,R,34,26,65,139.0,4.34,1.0,2.2,5.8,4.22,1.5
SP,Omero Venni,DEN,L,L,34,26,75,171.0,3.00,0.5,2.1,4.7,3.83,3.6
SP,Tom Bach,DEN,R,R,25,25,89,139.0,4.92,0.6,4.4,5.8,4.53,1.9
SP,Bill Bone,NKO,R,R,25,25,83,136.1,4.62,0.9,1.9,5.8,4.01,1.8
SP,Jason Dickerson,NKO,L,L,42,25,60,170.2,3.53,1.1,2.0,6.6,4.16,1.6
SP,Charles Lyell,GAL,R,R,39,25,66,166.1,4.22,0.6,2.8,5.7,3.95,2.4
SP,JUSTIN MOORE,GAL,R,R,25,25,78,129.2,3.33,1.0,2.0,5.1,4.36,1.4
SP,SHINTARO YAMADA,VAN,R,R,25,25,82,126.1,4.20,0.6,2.4,4.9,4.02,1.6
SP,Ivan Govedarica,CUR,R,R,23,23,88,118.2,5.46,0.9,4.0,5.8,4.78,0.9
SP,Charlie Parker,LDN,R,R,23,23,62,90.1,6.08,1.0,3.1,5.8,4.69,0.5
SP,HANNA BIN RAGHIB,DUB,R,R,22,22,88,123.2,3.06,0.5,2.5,6.3,3.65,2.3
SP,CLARK CASSETTY,CLE,R,R,29,22,66,129.2,3.12,0.3,3.1,6.4,3.48,2.3
SP,Kedar Fawzi,ADE,R,R,21,21,84,120.2,2.91,0.6,1.5,6.2,3.48,2.6
SP,Dave Tufts,VAN,R,R,33,19,65,144.0,3.94,1.1,1.9,5.1,4.44,0.8
LF,Janos von Neumann,GAL,R,L,20,19,80,104.2,5.59,1.3,3.2,5.1,5.03,0.3
SP,Isami Endo,CLE,L,L,53,17,38,128.2,4.06,0.5,3.6,5.7,4.01,1.0
